model_family,model_variant,context,split,rag_mode,use_rag,seed,run_id,value,f1,gold_support,pred_support,gold_rate,pred_rate,source_file
deberta,microsoft/deberta-v3-large,doc,test,none,False,1701.0,,Self-direction: thought,0.07287449392712551,171.0,76.0,0.011737250326034732,0.0052165557004598805,results/logs/deberta_doc_no_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,1701.0,,Self-direction: action,0.17183348095659876,512.0,617.0,0.03514311208730867,0.04235019562083877,results/logs/deberta_doc_no_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,1701.0,,Stimulation,0.26411290322580644,371.0,621.0,0.02546502848513968,0.04262475118402086,results/logs/deberta_doc_no_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,1701.0,,Hedonism,0.20560747663551404,125.0,303.0,0.008579861349440594,0.020797583911044,results/logs/deberta_doc_no_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,1701.0,,Achievement,0.38858116744780574,911.0,1436.0,0.06253002951472304,0.09856544718237353,results/logs/deberta_doc_no_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,1701.0,,Power: dominance,0.32932330827067674,631.0,699.0,0.04331114009197611,0.0479785846660718,results/logs/deberta_doc_no_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,1701.0,,Power: resources,0.4100761570005858,805.0,902.0,0.05525430709039742,0.06191227949756332,results/logs/deberta_doc_no_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,1701.0,,Face,0.1888111888111888,267.0,305.0,0.018326583842405108,0.020934861692635046,results/logs/deberta_doc_no_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,1701.0,,Security: personal,0.2959794696321642,352.0,817.0,0.02416088956002471,0.05607797377994372,results/logs/deberta_doc_no_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,1701.0,,Security: societal,0.43737414418042686,1151.0,1332.0,0.07900336330564899,0.09142700253963897,results/logs/deberta_doc_no_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,1701.0,,Tradition,0.39506172839506176,196.0,209.0,0.01345322259592285,0.014345528176264671,results/logs/deberta_doc_no_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,1701.0,,Conformity: rules,0.4184938036224976,911.0,1187.0,0.06253002951472304,0.08147436337428787,results/logs/deberta_doc_no_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,1701.0,,Conformity: interpersonal,0.11801242236024845,195.0,127.0,0.013384583705127325,0.008717139131031643,results/logs/deberta_doc_no_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,1701.0,,Humility,0.0,30.0,0.0,0.0020591667238657424,0.0,results/logs/deberta_doc_no_rag_seed1701_deberta-v3-large_test_metrics.json
