weight_decay,batch_size,max_length,learning_rate,best_macro_f1
0.01,8.0,512.0,1e-05,0.25008103617748983
0.01,8.0,1024.0,1e-05,0.2582205443216078
0.01,16.0,512.0,1e-05,0.2649721919697248
0.01,16.0,1024.0,1e-05,0.2652019832130001
0.1,8.0,512.0,1e-05,0.2511481730079879
0.1,8.0,1024.0,1e-05,0.2596864180955376
0.1,16.0,512.0,1e-05,0.2669401537535027
0.1,16.0,1024.0,1e-05,0.26618761291064036
0.15,8.0,512.0,1e-05,0.2614058091498417
0.15,8.0,1024.0,1e-05,0.25497250288370915
0.15,16.0,512.0,1e-05,0.2668490934332988
0.15,16.0,1024.0,1e-05,0.267473156136859
0.01,8.0,512.0,2e-05,0.0009410330925898744
0.01,8.0,1024.0,2e-05,0.0
0.01,16.0,512.0,2e-05,0.24911663161792608
0.01,16.0,1024.0,2e-05,0.24487539403520645
0.1,8.0,512.0,2e-05,0.05333015894740303
0.1,8.0,1024.0,2e-05,0.23633365427314826
0.1,16.0,512.0,2e-05,0.2389816050943691
0.1,16.0,1024.0,2e-05,0.24635245589116453
0.15,8.0,512.0,2e-05,0.013266872619070183
0.15,8.0,1024.0,2e-05,0.22478803168597597
0.15,16.0,512.0,2e-05,0.254338312412192
0.15,16.0,1024.0,2e-05,0.2492070093333276
0.01,8.0,512.0,3e-05,0.0
0.01,8.0,1024.0,3e-05,0.0
0.01,16.0,512.0,3e-05,0.02666372081437358
0.01,16.0,1024.0,3e-05,0.010952236081533314
0.1,8.0,512.0,3e-05,0.0
0.1,8.0,1024.0,3e-05,0.0
0.1,16.0,512.0,3e-05,0.09555753410830299
0.1,16.0,1024.0,3e-05,0.2055026520131585
0.15,8.0,512.0,3e-05,0.0
0.15,8.0,1024.0,3e-05,0.0
0.15,16.0,512.0,3e-05,0.01608403597088665
0.15,16.0,1024.0,3e-05,0.014360708433785235
