weight_decay,batch_size,max_length,learning_rate,best_macro_f1,collapsed
0.01,16.0,1024.0,5e-06,0.24072916725644222,False
0.05,16.0,1024.0,5e-06,0.2281600770897714,False
0.1,16.0,1024.0,5e-06,0.25387939193225484,False
0.15,16.0,1024.0,5e-06,0.2487733599123742,False
0.01,16.0,1024.0,7e-06,0.23884923762282204,False
0.05,16.0,1024.0,7e-06,0.2461870228778242,False
0.1,16.0,1024.0,7e-06,0.23802089747911417,False
0.15,16.0,1024.0,7e-06,0.12665443794909995,False
0.01,16.0,1024.0,1e-05,0.25738622313772935,False
0.05,16.0,1024.0,1e-05,0.25881042812881955,False
0.1,16.0,1024.0,1e-05,0.23153617334333398,False
0.15,16.0,1024.0,1e-05,0.0,True
0.01,16.0,1024.0,1.5e-05,0.0,True
0.05,16.0,1024.0,1.5e-05,0.0,True
0.1,16.0,1024.0,1.5e-05,0.0,True
0.15,16.0,1024.0,1.5e-05,0.23839259233151994,False
