weight_decay,batch_size,max_length,learning_rate,best_macro_f1,collapsed
0.01,16.0,1024.0,5e-06,0.24230579236595146,False
0.05,16.0,1024.0,5e-06,0.24426980848469984,False
0.1,16.0,1024.0,5e-06,0.24600814221634706,False
0.15,16.0,1024.0,5e-06,0.24448075464597502,False
0.01,16.0,1024.0,7e-06,0.18408621142167905,False
0.05,16.0,1024.0,7e-06,0.24230249932002793,False
0.1,16.0,1024.0,7e-06,0.23915546418864544,False
0.15,16.0,1024.0,7e-06,0.2585845501628504,False
0.01,16.0,1024.0,1e-05,0.13737525942302803,False
0.05,16.0,1024.0,1e-05,0.0,True
0.1,16.0,1024.0,1e-05,0.2466319557414137,False
0.15,16.0,1024.0,1e-05,0.2573745542578085,False
0.01,16.0,1024.0,1.5e-05,0.0,True
0.05,16.0,1024.0,1.5e-05,0.0,True
0.1,16.0,1024.0,1.5e-05,0.0,True
0.15,16.0,1024.0,1.5e-05,0.23986230305697342,False
